ds,volume,vix,interest_rate,cpi,y,cap,prophet_forecast,residual,lgb_correction,final_forecast
2015-02-05,34169300.0,17.290000915527344,0.12,236.222,4256.18,26515.992,4377.195140339918,-121.0151403399177,-114.63204243597615,4262.5630979039415
2015-02-06,34169300.0,17.290000915527344,0.12,236.222,4228.68,26515.992,4360.013031924676,-131.3330319246761,-114.63204243597615,4245.3809894887
2015-02-07,34169300.0,17.290000915527344,0.12,236.222,4242.43,26515.992,4347.618068464979,-105.18806846497864,-114.63204243597615,4232.9860260290025
2015-02-08,34169300.0,17.290000915527344,0.12,236.222,4242.43,26515.992,4343.422488980724,-100.99248898072346,-114.63204243597615,4228.790446544747
2015-02-09,22604700.0,18.549999237060547,0.12,236.222,4216.09,26515.992,4297.105375794494,-81.0153757944936,-81.01362073138581,4216.0917550631075
2015-02-10,23686500.0,17.229999542236328,0.12,236.222,4281.15,26515.992,4372.870630278263,-91.72063027826334,-91.72234424716426,4281.148286031099
2015-02-11,20303600.0,16.959999084472656,0.12,236.222,4297.28,26515.992,4374.026243378987,-76.74624337898695,-76.74641827155457,4297.279825107432
2015-02-12,22520300.0,15.34000015258789,0.12,236.222,4347.97,26515.992,4464.732512285106,-116.76251228510591,-116.75454299573747,4347.977969289369
2015-02-13,29030200.0,14.6899995803833,0.12,236.222,4384.03,26515.992,4483.795090428395,-99.76509042839552,-126.76181649778474,4357.03327393061
2015-02-14,29030200.0,14.6899995803833,0.12,236.222,4305.304,26515.992,4464.10437467598,-158.80037467597958,-126.76181649778474,4337.342558178195
2015-02-15,29030200.0,14.6899995803833,0.12,236.222,4305.304,26515.992,4453.11739687745,-147.81339687745003,-126.76181649778474,4326.355580379665
2015-02-16,29030200.0,14.6899995803833,0.12,236.222,4384.03,26515.992,4484.697395221676,-100.66739522167609,-126.76181649778474,4357.935578723891
2015-02-17,17675300.0,15.800000190734863,0.12,236.222,4385.34,26515.992,4403.022739790854,-17.682739790853702,-17.678681898025783,4385.3440578928285
2015-02-18,15149600.0,15.449999809265137,0.12,236.222,4390.91,26515.992,4404.757764796241,-13.847764796240881,-13.85071315221722,4390.907051644023
2015-02-19,19828100.0,15.289999961853027,0.12,236.222,4411.86,26515.992,4410.481321168691,1.3786788313091165,1.3768809405910554,4411.858202109282
2015-02-20,28336700.0,14.300000190734863,0.12,236.222,4443.05,26515.992,4447.650839364701,-4.600839364700732,-12.09866052902473,4435.552178835676
2015-02-21,28336700.0,14.300000190734863,0.12,236.222,4403.038,26515.992,4425.315115122594,-22.277115122594296,-12.09866052902473,4413.216454593569
2015-02-22,28336700.0,14.300000190734863,0.12,236.222,4403.038,26515.992,4412.455646282146,-9.417646282146052,-12.09866052902473,4400.356985753121
2015-02-23,17868000.0,14.5600004196167,0.12,236.222,4449.49,26515.992,4417.092639913764,32.397360086235494,32.396877872547456,4449.489517786312
